Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,192.3796,-50.292,-90.0,top
C2,0.1uF,C_0603_1608Metric,189.4332,-50.292,-90.0,top
C3,4.7uF,C_0805_2012Metric,184.404,-45.72,-90.0,top
C4,4.7uF,C_0805_2012Metric,192.3288,-46.1772,-90.0,top
D1,LED,LED_0603_1608Metric,186.436,-42.164,90.0,top
R1,1.2k,R_0805_2012Metric,194.5132,-42.164,-90.0,top
R2,3k,R_0603_1608Metric,196.9008,-42.164,-90.0,top
R3,2k,R_0402_1005Metric,189.484,-46.228,90.0,top
R4,470,R_0805_2012Metric,186.436,-45.72,90.0,top
SW1,SW_SPDT,SW_Lever_1P2T_NKK_GW12LxH,197.7527,-50.7619,0.0,top
U1,LEFT MOTOR,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,182.372,-41.656,180.0,top
U2,RIGHT MOTOR,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,200.152,-41.656,180.0,top
U3,MCP73831-2-OT,SOT-23-5,190.5,-42.164,0.0,top
