Comment,Designator,Footprint,LCSC
NPN,Q9,SOT-23,C139719
100,R2,R_0805_2012Metric,C17408
10k,"R17,R20,R8",R_0805_2012Metric,C17414
150,R3,R_0805_2012Metric,C17471
1k,"R19,R22,R31",R_0805_2012Metric,C17513
20,"R1,R10,R11,R12,R13,R14,R15,R5,R6,R7,R9",R_0805_2012Metric,C17544
51,R23,R_0805_2012Metric,C17738
5k,"R16,R18,R21,R24,R4",R_0805_2012Metric,C27834
D_Photo,"D2,D7,D8",LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,C2900211
LD271,"D1,D10,D3,D4,D5,D6",LED_SideEmitter_Rectangular_W4.5mm_H1.6mm,C57092
SJ_OPEN,JP17,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_OPEN,JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_OPEN,JP5,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_OPEN,JP10,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_OPEN,JP6,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_OPEN,JP7,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
TestPoint,TP1,TestPoint_Pad_1.5x1.5mm,
TestPoint,TP4,TestPoint_Pad_1.5x1.5mm,
SJ_OPEN,JP16,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_OPEN,JP8,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_OPEN,JP9,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
Conn_01x28_Pin,J1,PinSocket_2x14_P2.54mm_Vertical,
SJ_OPEN,JP3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_OPEN,JP24,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_OPEN,JP4,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_OPEN,JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SJ_OPEN,JP18,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
TestPoint,TP2,TestPoint_Pad_1.5x1.5mm,
