Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LD271,LED_SideEmitter_Rectangular_W4.5mm_H1.6mm,185.42,-41.915,-90.0,top
D2,D_Photo,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,180.945,-48.265,-90.0,top
D3,LD271,LED_SideEmitter_Rectangular_W4.5mm_H1.6mm,185.42,-54.615,-90.0,top
D4,LD271,LED_SideEmitter_Rectangular_W4.5mm_H1.6mm,202.045,-43.18,180.0,top
D5,LD271,LED_SideEmitter_Rectangular_W4.5mm_H1.6mm,214.625,-43.18,180.0,top
D6,LD271,LED_SideEmitter_Rectangular_W4.5mm_H1.6mm,233.68,-41.905,90.0,top
D7,D_Photo,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,208.275,-38.705,180.0,top
D8,D_Photo,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,238.155,-48.255,90.0,top
D10,LD271,LED_SideEmitter_Rectangular_W4.5mm_H1.6mm,233.68,-54.605,90.0,top
J1,Conn_01x28_Pin,PinSocket_2x14_P2.54mm_Vertical,208.29,-74.91,-90.0,top
Q9,NPN,SOT-23,217.5025,-62.23,0.0,top
R1,20,R_0805_2012Metric,227.775,-53.34,0.0,top
R2,100,R_0805_2012Metric,205.74,-58.42,180.0,top
R3,150,R_0805_2012Metric,200.185,-58.42,180.0,top
R4,5k,R_0805_2012Metric,223.52,-49.1725,-90.0,top
R5,20,R_0805_2012Metric,190.4775,-43.18,180.0,top
R6,20,R_0805_2012Metric,190.39,-50.8,180.0,top
R7,20,R_0805_2012Metric,200.66,-49.8875,90.0,top
R8,10k,R_0805_2012Metric,223.52,-44.0925,-90.0,top
R9,20,R_0805_2012Metric,192.7625,-58.05,0.0,top
R10,20,R_0805_2012Metric,215.9,-49.1725,90.0,top
R11,20,R_0805_2012Metric,227.775,-43.18,0.0,top
R12,20,R_0805_2012Metric,192.7625,-61.0,0.0,top
R13,20,R_0805_2012Metric,192.7625,-63.95,0.0,top
R14,20,R_0805_2012Metric,192.7625,-66.9,0.0,top
R15,20,R_0805_2012Metric,192.7625,-69.85,0.0,top
R16,5k,R_0805_2012Metric,198.4775,-69.85,0.0,top
R17,10k,R_0805_2012Metric,193.8425,-42.355,-90.0,top
R18,5k,R_0805_2012Metric,193.8425,-47.435,-90.0,top
R19,1k,R_0805_2012Metric,193.8425,-51.625,-90.0,top
R20,10k,R_0805_2012Metric,203.8,-50.8,0.0,top
R21,5k,R_0805_2012Metric,208.815,-50.8,0.0,top
R22,1k,R_0805_2012Metric,213.135,-50.8,0.0,top
R23,51,R_0805_2012Metric,209.52,-58.42,180.0,top
R24,5k,R_0805_2012Metric,202.2875,-69.85,0.0,top
R31,1k,R_0805_2012Metric,223.52,-53.45,-90.0,top
